Name,Dob,County,Designation
Lois,3/29/1981,Denver,abc
Brenda,7/31/1970,De Soto,xzy
Joe,6/16/1963,Clinton,wer
Diane,12-04-1977,Crawford,iop
Benjamin,4/17/1977,Waupaca,abc
Patrick,9/27/1982,Madison,xzy
Nancy,6/13/1995,Fulton,abc
Carol,6/30/1958,Clinton,xzy
Frances,06-09-1959,Starr,wer
Diana,11/13/1987,Carroll,iop
Ralph,02-05-1975,Nemaha,abc
Jack,5/19/1995,Clark,xzy
Melissa,2/24/1972,Washington,abc
Wayne,6/26/1996,Cavalier,xzy
Cheryl,2/23/1958,Somerset,wer
Paula,8/22/1966,Duplin,iop
Joshua,5/18/1970,Madison,abc
Theresa,12-05-1992,Mitchell,xzy
Julia,7/15/1959,Hickman,abc
Thomas,10-04-1967,Cape Girardeau,xzy
Carol,12/14/1994,Caddo,wer
Matthew,10/26/1993,Northumberland,abc
Joan,11/20/1972,Meigs,xzy
Ruby,05-01-1980,Cannon,wer
Carolyn,03-10-1958,Osceola,iop
Anne,7/29/1989,Grant,abc
Daniel,01-01-1990,Dunn,xzy
Roger,07-07-1969,Skagit,abc
Maria,3/19/1975,Lawrence,xzy
Brenda,12-06-1963,Maricopa,wer
Lillian,05-12-1981,Wakulla,iop
Amy,6/16/1981,Kline,abc
Gregory,8/31/1993,Klamath,xzy
Roy,05-08-1991,Union,abc
Richard,7/28/1993,Calhoun,xzy
Mary,12-01-1967,Davidson,wer
Aaron,02-10-1969,Crawford,iop
Donna,9/14/1983,Livingston,abc
Carl,12/22/1973,Jefferson,xzy
Joyce,8/22/1961,Pierce,abc
Mary,6/21/1962,Iowa,xzy
Amanda,7/29/1982,Calcasieu,wer
Jack,01-04-1985,Kalvesta,abc
Alan,12-11-1978,Knox,xzy
Elizabeth,8/15/1964,Strafford,wer
Nancy,11/14/1983,Clay,iop
Ernest,11-09-1989,Crawford,abc
Judy,3/25/1961,Shawnee,xzy
Nancy,11-10-1993,New York,abc
Pamela,4/14/1996,Sheridan,xzy
Larry,10/31/1988,St. Clair,wer
Ann,05-11-1989,Pottawattamie,iop
Judy,6/17/1959,Monmouth,abc
Peter,11-06-1982,Kalamazoo,xzy
Clarence,12/13/1960,Scott,abc
Sharon,05-04-1991,McDowell,xzy
Ann,12/25/1992,Lake,wer
Anne,05-05-1958,Putnam,iop
Nancy,05-05-1961,Charlotte,abc
Antonio,8/27/1995,Jefferson,xzy
Frances,1/30/1961,Lincoln,abc
Debra,10/30/1969,Washington,xzy
Henry,11-06-1984,Platte,wer
Melissa,11/14/1994,Lincoln,abc
Todd,8/31/1991,Baltimore,xzy
Christopher,3/29/1960,Mohave,wer
Andrea,07-06-1985,St. Joseph,iop
Jeremy,02-05-1965,Blount,abc
Steven,09-12-1986,East Baton Rouge,xzy
Cynthia,9/22/1982,Glacier,abc
Jason,01-03-1974,McLean,xzy
Cynthia,6/15/1963,Jackson,wer
Margaret,6/27/1992,Kiowa,iop
Douglas,4/21/1986,Delta,abc
Paul,03-09-1959,Floyd,xzy
Linda,8/18/1991,Erie,abc
Cheryl,4/20/1985,Breathitt,xzy
Martha,3/28/1991,Kay,wer
William,7/22/1967,Okaloosa,iop
Carolyn,5/30/1976,DuPage,abc
Ruby,10/23/1968,Koochiching,xzy
Paul,08-12-1991,Colorado,abc
Ernest,10/28/1984,Franklin,xzy
Dorothy,1/19/1984,Philadelphia,wer
Ryan,08-01-1993,Pointe Coupee,abc
Lillian,10/23/1974,Sedgwick,xzy
Kelly,5/23/1975,Major,wer
Jimmy,11/27/1966,Oneida,iop
Margaret,09-08-1981,Ross,abc
Janet,12/24/1979,Miami-Dade,xzy
Eugene,10-06-1979,Racine,abc
Deborah,10/31/1977,North Slope,xzy
Janice,01-12-1980,Johnson,wer
Rebecca,08-11-1961,Inyo,iop
Phillip,03-04-1978,Lane,abc
Jose,10-08-1994,Harrison,xzy
Harold,12/24/1984,Carol Stream,abc
Nicole,12-12-1964,Wayne,xzy
Theresa,12/30/1987,Yukon-Koyukuk (CA),wer
Tammy,3/22/1979,Gratiot,iop
